108.907,71.0928
111.625,68.3752
114.335,65.6649
117.044,62.9561
119.756,60.2439
122.479,57.5215
125.212,54.7881
127.963,52.0371
130.731,49.2694
133.522,46.4785
136.337,43.6627
139.175,40.8246
142.037,37.9633
144.925,35.0753
147.837,32.1627
150.772,29.2278
153.726,26.2741
156.699,23.3014
159.689,20.3106
162.697,17.3029
165.715,14.2848
168.747,11.2532
171.786,8.21377
174.841,5.15917
177.904,2.09618
179.021,-0.978765
175.932,-4.06776
172.825,-7.17527
169.696,-10.304
166.541,-13.4591
163.354,-16.6457
160.13,-19.8701
156.86,-23.1399
153.539,-26.4611
150.162,-29.8379
146.718,-33.2816
143.206,-36.7942
139.618,-40.3821
135.95,-44.0501
132.199,-47.8008
128.362,-51.6384
124.438,-55.5617
120.421,-59.579
116.315,-63.6854
112.121,-67.8789
107.835,-72.1652
103.46,-76.5402
98.9944,-81.0056
94.4433,-85.5567
89.811,-89.811
85.0965,-85.0965
80.3113,-80.3113
75.4569,-75.4569
70.5459,-70.5459
65.5853,-65.5853
60.5824,-60.5824
55.5543,-55.5543
50.5132,-50.5132
45.4727,-45.4727
40.4431,-40.4431
35.4486,-35.4486
30.4965,-30.4965
25.6012,-25.6012
20.7732,-20.7732
16.0279,-16.0279
11.3721,-11.3721
6.80626,-6.80626
2.34347,-2.34347
2.02222,2.02222
6.28306,6.28306
10.4465,10.4465
14.5088,14.5088
18.4804,18.4804
22.3583,22.3583
26.1584,26.1584
29.8814,29.8814
33.5323,33.5323
37.1249,37.1249
40.6598,40.6598
44.1488,44.1488
47.5911,47.5911
50.9997,50.9997
54.3737,54.3737
57.7126,57.7126
61.0229,61.0229
64.2994,64.2994
67.5457,67.5457
70.7602,70.7602
73.9374,73.9374
77.0745,77.0745
80.1748,80.1748
83.2292,83.2292
86.2399,86.2399
89.2059,89.2059
92.1288,87.8712
95.0083,84.9917
97.8483,82.1517
100.653,79.3473
103.429,76.5713
106.176,73.8242
