190.98 	445.83 
181.86 	443.02 
172.88 	439.79 
164.03 	436.16 
155.32 	432.11 
146.75 	427.63 
138.34 	422.72 
130.10 	417.36 
122.07 	411.54 
114.27 	405.24 
106.74 	398.45 
99.54 	391.17 
92.72 	383.40 
86.34 	375.13 
80.45 	366.39 
75.13 	357.20 
70.43 	347.61 
66.40 	337.66 
63.09 	327.40 
60.54 	316.89 
58.76 	306.22 
57.78 	295.44 
57.59 	284.64 
58.19 	273.86 
59.56 	263.19 
61.67 	252.68 
64.48 	242.38 
67.98 	232.33 
72.12 	222.57 
76.87 	213.13 
82.21 	204.04 
88.10 	195.32 
94.52 	186.99 
101.46 	179.08 
108.89 	171.62 
116.79 	164.62 
125.16 	158.14 
133.97 	152.21 
143.18 	146.86 
152.77 	142.15 
162.69 	138.11 
172.88 	134.78 
183.30 	132.19 
193.86 	130.35 
204.49 	129.28 
215.13 	128.97 
225.70 	129.40 
236.14 	130.53 
246.39 	132.33 
256.40 	134.73 
266.15 	137.69 
275.61 	141.14 
284.78 	145.06 
293.66 	149.38 
302.26 	154.09 
310.60 	159.17 
318.69 	164.60 
326.53 	170.40 
334.13 	176.57 
341.48 	183.14 
348.55 	190.11 
355.31 	197.51 
361.73 	205.34 
367.75 	213.61 
373.31 	222.30 
378.36 	231.39 
382.85 	240.86 
386.73 	250.65 
389.96 	260.73 
392.51 	271.03 
394.36 	281.51 
395.50 	292.10 
395.91 	302.76 
395.60 	313.42 
394.57 	324.06 
392.81 	334.61 
390.33 	345.02 
387.14 	355.27 
383.23 	365.28 
378.61 	375.02 
373.30 	384.42 
367.29 	393.43 
360.62 	401.99 
353.32 	410.02 
345.42 	417.47 
336.99 	424.28 
328.08 	430.41 
318.76 	435.82 
309.12 	440.49 
299.24 	444.41 
289.18 	447.59 
279.04 	450.06 
268.87 	451.83 
258.73 	452.95 
248.66 	453.46 
238.70 	453.41 
228.87 	452.82 
219.18 	451.75 
209.63 	450.21 
200.24 	448.23 
